ts_hour,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-16 09:30:00-04:00,478.1072998046875,480.6943054199219,476.54998779296875,480.0799865722656,4119214,0.0,0.0
2025-06-16 10:30:00-04:00,480.0801086425781,480.44000244140625,479.20001220703125,480.0199890136719,1576924,0.0,0.0
2025-06-16 11:30:00-04:00,479.9700012207031,480.64990234375,479.6300048828125,479.8299865722656,1158777,0.0,0.0
2025-06-16 12:30:00-04:00,479.8999938964844,480.3192138671875,479.3999938964844,480.1206970214844,764530,0.0,0.0
2025-06-16 13:30:00-04:00,480.1700134277344,480.30999755859375,478.3800048828125,478.5799865722656,912368,0.0,0.0
2025-06-16 14:30:00-04:00,478.61248779296875,479.0,477.7627868652344,478.5400085449219,1193522,0.0,0.0
2025-06-16 15:30:00-04:00,478.510009765625,479.3299865722656,477.9700012207031,479.04998779296875,2065086,0.0,0.0
2025-06-17 09:30:00-04:00,475.3500061035156,476.6099853515625,474.1000061035156,476.1499938964844,2755038,0.0,0.0
2025-06-17 10:30:00-04:00,476.12200927734375,477.1000061035156,475.4599914550781,476.8399963378906,1172110,0.0,0.0
2025-06-17 11:30:00-04:00,476.8399963378906,478.0400085449219,476.73480224609375,477.67999267578125,1186453,0.0,0.0
2025-06-17 12:30:00-04:00,477.6418151855469,478.7398986816406,476.614990234375,476.614990234375,1104756,0.0,0.0
2025-06-17 13:30:00-04:00,476.5899963378906,477.2699890136719,475.3900146484375,476.4350891113281,1220898,0.0,0.0
2025-06-17 14:30:00-04:00,476.3299865722656,477.6400146484375,475.9949951171875,477.56500244140625,1049636,0.0,0.0
2025-06-17 15:30:00-04:00,477.6099853515625,478.67999267578125,477.3299865722656,478.0400085449219,2017897,0.0,0.0
2025-06-18 09:30:00-04:00,478.0,478.6499938964844,474.4599914550781,478.364990234375,2656179,0.0,0.0
2025-06-18 10:30:00-04:00,478.3800048828125,479.4949951171875,477.30999755859375,478.80999755859375,1311040,0.0,0.0
2025-06-18 11:30:00-04:00,479.2200012207031,479.69000244140625,478.7799987792969,478.989990234375,986629,0.0,0.0
2025-06-18 12:30:00-04:00,478.9700012207031,479.79998779296875,478.42999267578125,478.42999267578125,816997,0.0,0.0
